,url,product_code,tltle,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,price_discount,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
255,https://winestyle.ru/products/Massandra-Port-red.html,Артикул: в61466,"Massandra, Port red, 750 мл",959 ₽,in_stock,18.5 %,,Мурведр,Россия; Крым,Портвейн,среднее,0.75 л,насыщенное,Массандра,http://massandra.su/,десерты; дижестив; сухофрукты; орехи,16-18°С,насыщенный/интенсивный; гармоничный; сложный,wine,,,,,,,,
256,https://winestyle.ru/products/Chateau-Belbec-Saperavi.html,Артикул: в114081,"""Шато Бельбек"" Саперави, 750 мл",519 ₽,in_stock,12 %,Chateau Belbec,Саперави,Россия; Крым,Красное; Полусладкое,среднее,0.75 л,насыщенное,КВКК Бахчисарай,http://bahchisaray.ru/,мясо; красное мясо; тушеное мясо; твердые сыры; сухофрукты; острые/пряные блюда,14–16 °С,мягкий; сбалансированный; гармоничный; сладковатый,wine,,,,,,,,
257,https://winestyle.ru/products/Kavigris-Inozemcevo-Rebo-Marcelan-2022.html,Артикул: в241767,"Kavigris, ""Inozemcevo"" Rebo Marcelan, 2022, 750 мл",739 ₽,in_stock,12 %,Иноземцево,Марселан; Ребо,Россия; Ставропольский край,Красное; Сухое,среднее,0.75 л,тёмное,Московский Комбинат Шампанских Вин (МКШВ),http://www.mcw.ru/,мясо; дичь; твердые сыры; горячие блюда,16-18 °С,фруктовый; сочный; пряный/острый; сухой; полный; гармоничный; бархатистый,wine,,https://inozemtsevo.com,,,,,,
258,https://winestyle.ru/products/Fanagoria-Ice-Wine-Riesling-gift-tube.html,Артикул: в150680,"Fanagoria, ""Ice Wine"" Riesling, gift tube, 0.375 литра",2 850 ₽,in_stock,12 %,,Рислинг,Россия; Краснодарский край,Белое; Сладкое,среднее,375 мл,светлое,Фанагория,http://www.fanagoria.ru/,фуа-гра /паштет из гусиной печени; десерты; дижестив; выпечка; паштет; голубой сыр; фруктовый десерт,10–12 °С,фруктовый; свежий; дыня; цитрусовые; мед; яблоки; апельсин; насыщенный/интенсивный; сбалансированный; апельсиновая цедра/корка; лимонная кожура; долгий/продолжительный,wine,,,,,,,,
259,https://winestyle.ru/products/Kavigris-Inozemcevo-Muscat-Ottonel-2022.html,Артикул: в241768,"Kavigris, ""Inozemcevo"" Muscat Ottonel, 2022, 750 мл",759 ₽,in_stock,12 %,Иноземцево,Мускат Оттонель,Россия; Ставропольский край,Белое; Сухое,среднее,0.75 л,светлое,Московский Комбинат Шампанских Вин (МКШВ),http://www.mcw.ru/,птица; рыба; мягкие сыры,10-12 °С,свежий; цитрусовые; сухой; экзотические фрукты; яркий; роза; богатый; гармоничный; личи,wine,,https://inozemtsevo.com,,,,,,
260,https://winestyle.ru/products/KVKK-Vinnaya-Kollekciya-Kubani-Yubilejnaya-Muscat.html,Артикул: в202895,"KVKK, ""Vinnaya Kollekciya Kubani"" Yubilejnaya Muscat, 700 мл",299 ₽,in_stock,11 %,Винная Коллекция Кубани; Юбилейная,Мускат,Россия; Краснодарский край,Белое; Полусладкое,лёгкое,0.7 л,светлое,КВKК (Кубанский Винно-Коньячный Комбинат),http://kvkkom.ru,азиатская кухня; десерты; фруктовый десерт,10–12 °С,фруктовый; легкое; мягкий; приятный; сбалансированный; сладковатый; обволакивающий,wine,,,,,,,,
261,https://winestyle.ru/products/Sober-Bash-Classic-Kumshatskiy-2023.html,Артикул: в243195,"Sober Bash, ""Classic"" Kumshatskiy, 2023, 750 мл",1 029 ₽,in_stock,11 %,,Кумшацкий,Россия; Краснодарский край,Белое; Сухое,лёгкое,0.75 л,светлое,Собер Баш,http://soberbashvino.ru,рыба; белое мясо; аперитив; салат; овощи; острые/пряные блюда,10–12 °С,сухой; легкое; яркий; сбалансированный; освежающий; долгий/продолжительный,wine,,,,,,,,
262,https://winestyle.ru/products/Massandra-Muskatel-Rose.html,Артикул: в44642,"Massandra, Muskatel Rose, 750 мл",659 ₽,in_stock,16 %,,Мускатные сорта винограда; Другие сорта,Россия; Крым,Крепленое; Сладкое,среднее,0.75 л,умеренное,Массандра,http://massandra.su/,десерты; дижестив; пирог; голубой сыр; сухофрукты,10–12 °С,сладкий; мягкий; насыщенный/интенсивный; гармоничный,wine,,,,,,,,
263,https://winestyle.ru/products/Chateau-le-Grand-Vostock-Aligote.html,Артикул: в159204,"Шато ле Гран Восток, Алиготе, 750 мл",729 ₽,in_stock,13 %,,Алиготе,Россия; Краснодарский край,Белое; Сухое,среднее,0.75 л,светлое,Chateau le Grand Vostock,http://grandvostock.ru/,птица; рыба; сыры; восточная кухня,10–12 °С,утонченный; мягкий; приятный; сбалансированный; освежающий; горьковатый; изысканный/элегантный,wine,,,,,,,,
264,https://winestyle.ru/products/Inkerman-White-Semidry.html,Артикул: в49672,"Inkerman, White Semidry, 750 мл",499 ₽,in_stock,13.5 %,,Алиготе; Ркацители,Россия; Крым; Севастополь,Белое; Полусухое,среднее,0.75 л,светлое,Инкерман,http://inkerman.ru/,рыба; закуски; овощи; мягкие сыры,10–12 °С,фруктовый; свежий; трава; сбалансированный; гармоничный; горьковатый; пикантный,wine,,,,,,,,
