,url,product_code,tltle,price_discount,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
1258,https://winestyle.ru/products/Terra-Krym-Merlot.html,Артикул: в148973,"""Terra Krym"" Merlot, 700 мл",,390 ₽,in_stock,12 %,Терра Крым,Мерло,Россия; Крым,Красное; Сухое,лёгкое,0.7 л,насыщенное,Любимый город ЛТД,http://vpk.com.ru/,мясо; птица; дичь; жареное мясо; сыры; мясо на гриле,14–16 °С,фруктовый; ваниль; ягоды; легкое; округлый; долгий/продолжительный,wine,,,,,,,
1259,https://winestyle.ru/products/Burlyuk-Grande-Momento-Merlot.html,Артикул: в237914,"""Гранде Моменто"" Мерло, 750 мл",,719 ₽,in_stock,12 %,Grande Momento,Мерло,Россия; Крым,Красное; Полусладкое,среднее,0.75 л,насыщенное,Бурлюк,https://burluk-winery.com,красное мясо; говядина; баранина; ягнятина,14-16 °С,фруктовый; свежий; мягкий; терпкий; долгий/продолжительный; сладковатый,wine,,,,,,,
1260,https://winestyle.ru/products/Drinksome-Tiger-Vermouth-Zero-Alcohol.html,Артикул: в221458,"""Дринксом"" Тайгер Вермут Безалкогольный, 700 мл",,1 639 ₽,in_stock,Безалкогольное - 0.0%,Drinksome; Tiger,,Россия; Московская область,Вермут,лёгкое,0.7 л,насыщенное,Space,https://drinkspace.ru/,аперитив; лед; коктейли,,фруктовый; специи/пряности; пряный/острый; округлый; сбалансированный; горьковатый; сладковатый,wine,https://drinksome.ru,,,,,,
1261,https://winestyle.ru/products/Vineyard-Plateau-Kara-Tau-Riesling-Viognier-2021.html,Артикул: в196613,"""Vineyard Plateau Kara-Tau"" Riesling-Viognier, 2021, 750 мл",,1 590 ₽,in_stock,14 %,Виноградник Плато Кара-Тау,Рислинг; Вионье,Россия; Крым; Севастополь,Белое; Сухое,среднее,0.75 л,светлое,Wein und Wasser,,рыба; моллюски; острые/пряные блюда; паназиатская кухня,10–12 °С,цветочный; цитрусовые; мягкий; сбалансированный; чистый; пикантный; кислинка,wine,,,,,,,
1262,https://winestyle.ru/products/Chateau-de-Talu-Rose-2023.html,Артикул: в244639,"""Шато де Талю"" Розе, 2023, 750 мл",,2 199 ₽,in_stock,14 %,,Каберне Совиньон,Россия; Краснодарский край,Розовое; Сухое,среднее,0.75 л,светлое,Chateau de Talu,http://chateaudetalu.ru/,рыба; аперитив; морепродукты/дары моря; салат; тартар,8–10 °С,фруктовый; цветочный; ягоды; яркий; сбалансированный; долгий/продолжительный; шелковистый; тонкий,wine,,,,,,,
1263,https://winestyle.ru/products/Alma-Valley-Trio-en-Orange-2021.html,Артикул: в251037,"Альма Валей, ""Трио в Оранжевом"", 2021, 750 мл",1 490 ₽,1 909 ₽,in_stock,13.5 %,,Пино Блан; Пино Гри; Совиньон Блан,Россия; Крым,Оранжевое; Сухое,полнотелое,0.75 л,умеренное,Alma Valley,http://alma-valley.ru/,мясо; морепродукты/дары моря; азиатская кухня,9-12 ºC,фруктовый; минералы; сухой; приятный; сбалансированный; долгий/продолжительный; нежный; танинный,wine,,,,,,,
1264,https://winestyle.ru/products/Abrau-Durso-Riesling-2023.html,Артикул: в245841,"Abrau-Durso, Riesling, 2023, 750 мл",,2 230 ₽,in_stock,13 %,,Рислинг,Россия; Краснодарский край,Белое; Сухое,среднее,0.75 л,светлое,Абрау-Дюрсо (Русский Шампанский Дом),http://www.abraudurso.ru/,рыба; аперитив; морепродукты/дары моря; азиатская кухня; мягкие сыры,10–12 °С,фруктовый; цветочный; цитрусовые; мягкий; сбалансированный; долгий/продолжительный; кислинка; изящный,wine,,,,,,,
1265,https://winestyle.ru/products/Chateau-Tamagne-Select-Rose.html,Артикул: в72590,"""Шато Тамань"" Селект Розе, 750 мл",,999 ₽,in_stock,12 %,Chateau Tamagne; Селект,Мерло,Россия; Краснодарский край,Розовое; Сухое,лёгкое,0.75 л,умеренное,Кубань-Вино,http://kuban-vino.ru/,сыры; закуски; фрукты; мясо на гриле,12 °С,свежий; сочный; красные ягоды; красные фрукты; мягкий; сбалансированный; гармоничный; освежающий,wine,https://chateautamagne.ru,,,,,,
1266,https://winestyle.ru/products/Valery-Loginov-VL-Pinot-Gris-2022.html,Артикул: в235245,"Valery Loginov, ""VL"" Pinot Gris, 2022, 750 мл",,1 430 ₽,in_stock,11.8 %,Валерий Логинов,Пино Гри,Россия; Крым; Севастополь,Белое; Сухое,лёгкое,0.75 л,светлое,Wein und Wasser,,салат; закуски; итальянская кухня,8-10 °С,фруктовый; сухой; легкое; приятный; гармоничный; освежающий,wine,,,,,,,
1267,https://winestyle.ru/products/Burnier-Merlot-2020.html,Артикул: в250952,"Burnier, Merlot, 2020, 750 мл",,1 680 ₽,in_stock,14 %,,Мерло,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,насыщенное,Бюрнье,https://burnier.vin/,птица; сыры; копчености; телятина; мясо на гриле,14-16 °С,фруктовый; цветочный; округлый; долгий/продолжительный; шелковистый; тонкий,wine,,,,,,,
1268,https://winestyle.ru/products/Chateau-Cotes-de-Saint-Daniel-Bianco-da-Sole.html,Артикул: в111265,"Шато Кот де Сан Даниэль, ""Бьянко да Соле""/""Белое солнечное"", 750 мл",,2 020 ₽,in_stock,13 %,,Москато Бьянко,Россия; Крым,Белое; Полусладкое,среднее,0.75 л,светлое,Chateau Cotes de Saint Daniel/Chateau Ay-Daniel,,азиатская кухня; закуски; десерты; канапе,8–10 °С,выпечка; мед; миндаль; персик; курага; мягкий; сладковатый,wine,,,,,,,
